FPR, TPR
0.169, 0.8
0.17, 0.8
0.171, 0.8
0.172, 0.8
0.173, 0.8
0.174, 0.8
0.175, 0.8
0.175, 0.866666666667
0.176, 0.866666666667
0.177, 0.866666666667
0.178, 0.866666666667
0.179, 0.866666666667
0.18, 0.866666666667
0.181, 0.866666666667
0.182, 0.866666666667
0.183, 0.866666666667
0.184, 0.866666666667
0.185, 0.866666666667
0.186, 0.866666666667
0.187, 0.866666666667
0.188, 0.866666666667
0.189, 0.866666666667
0.19, 0.866666666667
0.191, 0.866666666667
0.192, 0.866666666667
0.193, 0.866666666667
0.194, 0.866666666667
0.195, 0.866666666667
0.196, 0.866666666667
0.197, 0.866666666667
0.198, 0.866666666667
0.199, 0.866666666667
0.2, 0.866666666667
0.201, 0.866666666667
0.202, 0.866666666667
0.203, 0.866666666667
0.204, 0.866666666667
0.205, 0.866666666667
0.206, 0.866666666667
0.207, 0.866666666667
0.208, 0.866666666667
0.209, 0.866666666667
0.21, 0.866666666667
0.211, 0.866666666667
0.212, 0.866666666667
0.213, 0.866666666667
0.214, 0.866666666667
0.215, 0.866666666667
0.216, 0.866666666667
0.217, 0.866666666667
0.218, 0.866666666667
0.219, 0.866666666667
0.22, 0.866666666667
0.221, 0.866666666667
0.222, 0.866666666667
0.223, 0.866666666667
0.224, 0.866666666667
0.225, 0.866666666667
0.226, 0.866666666667
0.227, 0.866666666667
0.228, 0.866666666667
0.229, 0.866666666667
0.23, 0.866666666667
0.231, 0.866666666667
0.232, 0.866666666667
0.233, 0.866666666667
0.234, 0.866666666667
0.235, 0.866666666667
0.236, 0.866666666667
0.237, 0.866666666667
0.238, 0.866666666667
0.239, 0.866666666667
0.24, 0.866666666667
0.241, 0.866666666667
0.242, 0.866666666667
0.243, 0.866666666667
0.244, 0.866666666667
0.245, 0.866666666667
0.246, 0.866666666667
0.247, 0.866666666667
0.248, 0.866666666667
0.249, 0.866666666667
0.25, 0.866666666667
0.251, 0.866666666667
0.252, 0.866666666667
0.253, 0.866666666667
0.254, 0.866666666667
0.255, 0.866666666667
0.256, 0.866666666667
0.257, 0.866666666667
0.258, 0.866666666667
0.259, 0.866666666667
0.26, 0.866666666667
0.261, 0.866666666667
0.262, 0.866666666667
0.263, 0.866666666667
0.264, 0.866666666667
0.265, 0.866666666667
0.266, 0.866666666667
0.267, 0.866666666667
0.268, 0.866666666667
0.269, 0.866666666667
0.27, 0.866666666667
0.271, 0.866666666667
0.272, 0.866666666667
0.273, 0.866666666667
0.274, 0.866666666667
0.275, 0.866666666667
0.276, 0.866666666667
0.277, 0.866666666667
0.278, 0.866666666667
0.279, 0.866666666667
0.28, 0.866666666667
0.281, 0.866666666667
0.282, 0.866666666667
0.283, 0.866666666667
0.284, 0.866666666667
0.285, 0.866666666667
0.286, 0.866666666667
0.287, 0.866666666667
0.288, 0.866666666667
0.289, 0.866666666667
0.29, 0.866666666667
0.291, 0.866666666667
0.292, 0.866666666667
0.293, 0.866666666667
0.294, 0.866666666667
0.295, 0.866666666667
0.295, 0.933333333333
0.296, 0.933333333333
0.297, 0.933333333333
0.298, 0.933333333333
0.299, 0.933333333333
0.3, 0.933333333333
0.301, 0.933333333333
0.302, 0.933333333333
0.303, 0.933333333333
0.304, 0.933333333333
0.305, 0.933333333333
0.306, 0.933333333333
0.307, 0.933333333333
0.308, 0.933333333333
0.309, 0.933333333333
0.31, 0.933333333333
0.311, 0.933333333333
0.312, 0.933333333333
0.313, 0.933333333333
0.314, 0.933333333333
0.315, 0.933333333333
0.316, 0.933333333333
